t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.0,3.2745320190886336,-6.306089588933511,8.281268400882507,1.0,5.709330348078954e-09,3.5468286772279264e-09,-0.0,2.318145675417327e-11,-3.7125857943465235e-11,2.4868995751603507e-11,6.830372452867025e-06,4.245058100244195e-06,-1.0278149106154507e-17,6.958877918350481e-08,-1.120170622925798e-07,7.560174708487466e-08,0.002042936726590486,0.001269605990998399,-1.2952147005690643e-15,1.9617657829784918,1.9619453323796259,1.9622342472622076,1.9620546978610731,4.164402156447977e-05,-6.700595633901685e-05,4.5204728849057574e-05,0.012454837161612886,-0.020041213133481506,0.013520207176043186
0.02,3.274532019206933,-6.306089589123869,8.28126840101093,0.9999999999997958,5.428174035592949e-07,3.3733620912674894e-07,5.475912673969955e-19,3.3216984718364984e-08,-5.3450399661869596e-08,3.6059866204141144e-08,0.00015310168944242621,9.514615459563401e-05,-4.842322660378357e-17,6.618541270597689e-06,-1.0650085258134823e-05,7.185008144006133e-06,0.01429180501178316,0.008881781158429596,-4.336896466315363e-14,1.9603628170107,1.9616188905479186,1.9636400569957733,1.9623839834585357,0.0009333853689952321,-0.0015019301358165649,0.0010132694683306909,0.08713065824395017,-0.14020322680607933,0.09458691607733272
0.04,3.274532022843956,-6.306089594976293,8.281268404959226,0.9999999999892657,3.935398088730594e-06,2.445676830087804e-06,-2.481098988769287e-19,4.823614396798348e-07,-7.761796538829913e-07,5.236437061739707e-07,0.000576527057890734,0.0003582862047399293,-8.370917231203572e-16,4.7984434203840465e-05,-7.721292050177908e-05,5.209109588122374e-05,0.027922413434652273,0.017352522514884113,9.196587929718164e-14,1.9588089968806395,1.9612630141488536,1.96521183972618,1.9627578224580076,0.0035148266519513527,-0.00565579316713638,0.0038156429127411684,0.1702330276742714,-0.27392657031555245,0.184803461422689
0.06,3.2745320473770825,-6.306089634453151,8.281268431591995,0.9999999998845898,1.2903961137423178e-05,8.019243919662492e-06,8.561027844328118e-18,2.377950769627546e-06,-3.82641918150739e-06,2.5814649973199266e-06,0.0012657541572513253,0.0007866105501719758,-3.5479467669130376e-15,0.00015734030522907005,-0.00025318012575326065,0.00017080605374530933,0.040874457789844235,0.025401596548373127,4.908737324343994e-13,1.9573477373711632,1.9609400656057407,1.9667205868617321,1.9631282586273808,0.007716923544620613,-0.012417489259064496,0.008377377014312515,0.2492120287911348,-0.4010144216692879,0.270542521718653
0.08,3.2745321373384515,-6.306089779212204,8.28126852925261,0.9999999993745817,3.0039048039438223e-05,1.866794381838831e-05,-1.681537291438099e-17,7.398782342349364e-06,-1.1905562757874577e-05,8.031999421120872e-06,0.0022073309379251316,0.0013717586192386246,2.07702139537906e-15,0.0003662799041848075,-0.0005893900123510321,0.0003976276374828558,0.05315931836398435,0.033036142227342837,8.079913418186043e-13,1.9559845909667226,1.9606566070055487,1.968174469905048,1.963502453866595,0.01345805511476783,-0.02165569146228563,0.01460985643575441,0.32415177209088597,-0.5216010734443444,0.35189415825698234
0.1,3.2745323770533,-6.306090164943273,8.281268789483223,0.9999999976846282,5.779779482750592e-05,3.591877828312922e-05,-1.2853157415821878e-16,1.783931038445985e-05,-2.870567419321901e-05,1.9366071057902445e-05,0.0033880263042033116,0.0021055082937983098,1.0254020762937462e-16,0.0007047813976868156,-0.0011340811845172993,0.0007650994682251167,0.06478819134218029,0.04026297411981205,4.668688799203244e-13,1.9547247989190757,1.960418843325354,1.9695812772130197,1.963887232806956,0.020658281307817106,-0.0332417595672041,0.02242630614546215,0.39513712302152726,-0.6358253479277209,0.42895802465636734
0.12,3.2745329026320786,-6.306091010665068,8.281269360043202,0.9999999932745023,9.850609929073328e-05,6.121718541001759e-05,-7.033504774906101e-16,3.657766907139148e-05,-5.885803249228161e-05,3.9708140064931285e-05,0.0047948187644240225,0.002979766807803276,-2.2435096710042394e-14,0.0012012408623363058,-0.0019329466205419976,0.0013040484780901807,0.07577079457742149,0.04708811137059056,-1.911661744726021e-12,1.953573425932062,1.960232690504304,1.9709482990370621,1.9642890344639383,0.029239323406926587,-0.047049740992122224,0.03174178786480297,0.4622481952765156,-0.743816475079484,0.5018138793388971
0.14,3.2745339133296842,-6.306092637003677,8.281270457240712,0.999999983485283,0.00015436061584728986,9.592827608788142e-05,-3.540503932584848e-15,6.704435864257619e-05,-0.00010788274762418837,7.2782317772635e-05,0.006414880702999087,0.0039865609710070735,-1.1510599709488385e-13,0.0018825049519222148,-0.0030291863417630793,0.002043619602432045,0.08611685766982888,0.05351758406179487,-6.669881314946999e-12,1.9525352074922,1.9601037368112246,1.9722824996193258,1.9647139702972234,0.03912452095633512,-0.06295630150532361,0.042473086381278335,0.5255674562221202,-0.8457074152090627,0.5705546257672722
0.16,3.274535682284945,-6.3060954834738965,8.281272377591609,0.9999999641494237,0.0002274306805239456,0.00014133802290470018,-1.4703998646352365e-14,0.0001131915840613118,-0.00018213942993838828,0.00012287909143537945,0.008235575311885525,0.005118035386819589,-3.0500816399659215e-13,0.0027739035335372364,-0.00446356016148286,0.003011312141865119,0.09583568083761737,0.05955713672598246,-1.2287574690025348e-11,1.9516146123668239,1.9600372634133885,1.9735904753762052,1.9651678243239699,0.05023885174537668,-0.0808407554231394,0.05453882856443215,0.5851760853659016,-0.9416293522690466,0.63527121341167
0.18,3.2745385666533804,-6.306100124784474,8.281275508820075,0.9999999291769068,0.0003196601519867668,0.00019865439467943796,-5.0916466452603136e-14,0.00017946324200046604,-0.00028877890807521567,0.00019482276858440173,0.010244443772418647,0.006366444127803046,-7.319885556523274e-13,0.0038992818662819673,-0.00627443976775055,0.004233015324928147,0.10493582739606234,0.06521202449717738,-3.24722237883136e-11,1.950815889140538,1.9600382620804173,1.974878429116145,1.9656560561612788,0.0625088736327939,-0.10058497768028474,0.06785938033715411,0.6411513098214527,-1.0317076082344556,0.6960501508501693
